hub,intervention_type,donor,report_date,distribution_date,planned_implemented,implementing_partner,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,community,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,longitude_x,latitude_y,location_pcode,abbreviation
NWS,Earthquake,IRC fund,2023-02-12T00:00:00Z,2023-02-14T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,200,1000,Yes,Aleppo,Jebel Saman,Atareb,Batbu,In the Village,مجتمعات,NA,SY02,SY0200,SY020001,C1025,36.739787,36.133376,NA,IRC
NWS,Earthquake,IRC fund,2023-02-12T00:00:00Z,2023-02-14T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,2500,12500,Yes,Idleb,Harim,Dana,Dana (Dana),In the Village,مركز ايواء السلام+ مجتمع 2500,NA,SY07,SY0703,SY070301,C4126,36.76958,36.213601,NA,IRC
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-14T00:00:00Z,Implemented,Ataa Humanitarian Relief Association (ATAA),Cash Response,NA,30,150,USD,150,777,Yes,Aleppo,Al Bab,Al Bab,Al Bab,In the Camp,Collective Center,NA,SY02,SY0202,SY020200,C1202,37.514925,36.369722,NA,ATAA
NWS,Earthquake,N/A,2023-02-12T00:00:00Z,2023-02-14T00:00:00Z,Implemented,Norwegian Refugee Council (NRC),Cash Response,NA,30,150,USD,1000,5000,Yes,Idleb,Harim,Salqin,Azmarin,In the Village,NA,NA,SY07,SY0703,SY070302,C4143,36.401422,36.055985,NA,NRC
NWS,Earthquake,Private donor,2023-02-12T00:00:00Z,2023-02-14T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,200,1000,Yes,Aleppo,Jebel Saman,Atareb,Kafr Noran,In the Village,NA,NA,SY02,SY0200,SY020001,C1041,36.832155,36.078046,NA,IRC
NWS,Earthquake,CARE International,2023-02-12T00:00:00Z,2023-02-15T00:00:00Z,Implemented,Shafak Organization (SO),Cash Response,One Off Distribution,30,150,USD,250,1250,Yes,Aleppo,Jarablus,Jarablus,Jarablus,In the Village,NA,NA,SY02,SY0208,SY020800,C2227,38.009919,36.814478,NA,SO
NWS,Earthquake,N/A,2023-02-12T00:00:00Z,2023-02-15T00:00:00Z,Implemented,Shafak Organization (SO),Cash Response,One Off Distribution,30,150,USD,1500,7500,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,36.689563,36.392488,NA,SO
NWS,Earthquake,BHA II,2023-02-23T00:00:00Z,2023-02-16T00:00:00Z,Implemented,People in Need (PIN),Cash Response,One Off Distribution,1,150,USD,129,645,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Janudiyeh,In the Camp,Athar,NA,SY07,SY0704,SY070403,C4255,36.291357,35.882903,NA,PIN
NWS,Earthquake,BHA II,2023-02-23T00:00:00Z,2023-02-16T00:00:00Z,Implemented,People in Need (PIN),Cash Response,One Off Distribution,1,150,USD,404,2020,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,In the Village,NA,NA,SY07,SY0704,SY070403,C4263,36.234349,35.941613,NA,PIN
NWS,Earthquake,BHA II,2023-02-23T00:00:00Z,2023-02-16T00:00:00Z,Implemented,People in Need (PIN),Cash Response,One Off Distribution,1,150,USD,192,960,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Qanniyeh (Janudiyeh),In the Village,NA,NA,SY07,SY0704,SY070403,C4260,36.319267,35.922078,NA,PIN
NWS,Earthquake,N/A,2023-02-13T00:00:00Z,2023-02-16T00:00:00Z,Implemented,Ataa Humanitarian Relief Association (ATAA),Cash Response,NA,30,150,USD,500,2500,Yes,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,36.453694,36.139048,NA,ATAA
